Card,Hotels,Portal Hotels,Hotel Card Hotels,,
Hilton Aspire,3,3,14,,
Hilton Surpass,3,3,12,,
Hilton Business,5,5,12,,
IHG Premier,5,5,10,,
IHG Premier Business,5,5,10,,
Hilton Card,3,3,7,,
Bonvoy Boundless,2,2,6,,
Bonvoy Bountiful,2,2,6,,
Ritz Carlton,2,2,6,,
IHG Traveler,2,2,5,,
Hyatt Business,1,1,4,,
Hyatt Personal,1,1,4,,
Bonvoy Bold,1,1,3,,
Citi Strata Elite,1.5,12,1.5,,
Capital One Venture X,2,10,2,,
Capital One Venture X Business,2,10,2,,
AA Executive,2,10,2,,
JetBlue Business,1,6,1,,
JetBlue Card,1,6,1,,
JetBlue Plus,1,6,1,,
JetBlue Premier,1,6,1,,
Capital One Savor,1,5,1,,
Chase Freedom Flex,1,5,1,,
Chase Sapphire Reserve,4,8,4,,
Chase Sapphire Reserve Business,4,8,4,,
United Business,1,5,1,,
Chase Freedom Unlimited,1.5,5,1.5,,
United Club Business,1.5,5,1.5,,
Capital One Spark Cash Plus,2,5,2,,
Capital One Spark Miles 2x,2,5,2,,
Capital One Venture,2,5,2,,
Capital One VentureOne,2,5,2,,
Chase Sapphire Preferred,2,5,2,,
United Club,2,5,2,,
United Explorer,2,5,2,,
United Quest,2,5,2,,
Citi Double Cash,2,5,2,,
Citi Strata,2,5,2,,
SW Performance Business,1,3,1,,
SW Plus,1,2,1,,
SW Premier,1,2,1,,
SW Priority,1,2,1,,
SW Preferred Business,1,2,1,,