Card,RentalCar,Portal Rental Cars
Citi Strata Elite,1.5,12
Capital One Venture X,2,10
Capital One Venture X Business,2,10
AA Executive,2,10
Chase Sapphire Reserve,1,8
Chase Sapphire Reserve Business,1,8
JetBlue Business,1,6
JetBlue Card,1,6
JetBlue Plus,1,6
JetBlue Premier,1,6
Capital One Savor,1,5
Chase Freedom Flex,1,5
Chase Freedom Unlimited,1.5,5
Capital One Spark Cash Plus,2,5
Capital One Spark Miles 2x,2,5
Capital One Venture,2,5
Capital One VentureOne,2,5
Chase Sapphire Preferred,2,5
Citi Double Cash,2,5
Citi Strata,2,5
SW Performance Business,1,3
SW Plus,1,2
SW Premier,1,2
SW Priority,1,2
SW Preferred Business,1,2
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,